,property Name,address,city,state,zip,neighborhood,link,walk,transit,bike,sound
0,The Ivey on Boren,2019 Boren Ave,Seattle,WA,98121,Denny Triangle,https://www.apartments.com/the-ivey-on-boren-seattle-wa/738xtcx/,99,100,78,62
1,Ascent South Lake Union,1145 Republican St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/ascent-south-lake-union-seattle-wa/gg967yx/,99,86,76,65
2,Shoresmith,1170 Republican St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/shoresmith-seattle-wa/0px0ht1/,98,82,83,65
3,Tower 12,2015 2nd Ave,Seattle,WA,98121,Pike Place Market,https://www.apartments.com/tower-12-seattle-wa/sx3e5w7/,98,100,61,63
4,Onni South Lake Union,112 Boren Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/onni-south-lake-union-seattle-wa/m93gvph/,99,98,79,64
5,Melody by Jabooda,2101 S Grand St,Seattle,WA,98144,North Beacon Hill,https://www.apartments.com/melody-by-jabooda-seattle-wa/gj0171w/,84,66,83,69
6,999 Hiawatha,999 Hiawatha Place South,Seattle,WA,98144,Atlantic,https://www.apartments.com/999-hiawatha-seattle-wa/ymfxrvv/,82,71,90,68
7,Capitol Hill Station,118 Broadway E,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/capitol-hill-station-seattle-wa/4912xmk/,99,84,91,67
8,BEAM,1029 S Jackson St,Seattle,WA,98104,Chinatown,https://www.apartments.com/beam-seattle-wa/bwdhwwb/,98,96,81,63
9,Leilani Apartment Homes,10215 Greenwood Ave N,Seattle,WA,98133,Greenwood,https://www.apartments.com/leilani-apartment-homes-seattle-wa/nq961rp/,84,56,70,69
10,Cubix at Othello Apartments,7339 43rd St S,Seattle,WA,98118,South Seattle,https://www.apartments.com/cubix-at-othello-apartments-seattle-wa/09sesz3/,88,66,82,71
11,STAZIONE25,2615-2715 25th Ave S,Seattle,WA,98144,North Beacon Hill,https://www.apartments.com/stazione25-seattle-wa/t6gpln8/,80,73,62,73
12,Sentral First Hill,1001 Minor Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/sentral-first-hill-seattle-wa/rwd8ec0/,98,99,93,65
13,Airmark Apartments,229 Andover Park E,Seattle,WA,98188,Tukwila Urban Center,https://www.apartments.com/airmark-apartments-seattle-wa/qrmphlw/,60,50,67,71
14,Sentral SLU,1212 Harrison St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/sentral-slu-seattle-wa/53ysvvn/,98,83,86,65
15,Montclair Apartments,4727 12th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/montclair-apartments-seattle-wa/hf63dv2/,98,84,95,65
16,The Waverly,210 8th Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/the-waverly-seattle-wa/pfdbj8s/,97,89,78,65
17,Springline,3220 California Ave SW,Seattle,WA,98116,North Admiral,https://www.apartments.com/springline-seattle-wa/1kmqnv5/,89,44,69,74
18,The Olivian,809 Olive Way,Seattle,WA,98101,Denny Triangle,https://www.apartments.com/the-olivian-seattle-wa/srj9ny6/,99,100,78,61
19,Met Tower,1942-1942 Westlake Ave,Seattle,WA,98101,Denny Triangle,https://www.apartments.com/met-tower-seattle-wa/qjgvn6y/,99,100,80,61
20,Alexan 100,100 Denny Way,Seattle,WA,98109,Lower Queen Anne,https://www.apartments.com/alexan-100-seattle-wa/05exse0/,93,76,66,68
21,Helm,602 Terry Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/helm-seattle-wa/5r5yjgm/,96,82,86,65
22,Alta Arlo,4720 Rainier Ave S,Seattle,WA,98118,Columbia City,https://www.apartments.com/alta-arlo-seattle-wa/g8e83wz/,95,61,83,69
23,Broadstone Vin,4106 N Stone Way,Seattle,WA,98103,Wallingford,https://www.apartments.com/broadstone-vin-seattle-wa/wss2s7l/,92,61,78,74
24,Mera,630 Boren Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/mera-seattle-wa/mb7682j/,97,81,80,66
25,Marlowe,1146 Harrison St,Seattle,WA,98121,South Lake Union,https://www.apartments.com/marlowe-seattle-wa/7n52vsx/,99,85,83,65
26,McKenzie,2202 Eighth Ave,Seattle,WA,98121,Denny Triangle,https://www.apartments.com/mckenzie-seattle-wa/tc4dx7b/,99,100,77,62
27,Malloy Apartment Homes,4337 15th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/malloy-apartment-homes-seattle-wa/f7vv06v/,99,85,85,69
28,Edwards on Fifth,2613-2619 5th Ave,Seattle,WA,98121,Denny Triangle,https://www.apartments.com/edwards-on-fifth-seattle-wa/ljmqv2d/,99,97,86,62
